learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,55.736383567,4.1167565401772286E-4,1000.0,90.4,71.69260528286753,-50.000000000000085,62.64591439688717,1000.0,2.8550832E7
2000.0,115.180732107,8.517042956218482E-4,2000.0,71.6,33.822981134889275,-70.05988023952094,29.7029702970297,2000.0,2.8613616E7
3000.0,175.988126254,0.001302460363914659,3000.0,69.76666666666667,41.84222293087838,-97.60348583877993,34.37047756874095,3000.0,2.8654152E7
4000.0,237.069501316,0.0017555136401768536,4000.0,73.375,49.49973920053109,-99.0654205607476,34.94196701282834,4000.0,2.8671E7
5000.0,297.802757571,0.0022065670608874613,5000.0,76.3,54.198508687982475,-100.50761421319801,35.56280587275694,5000.0,2.8708056E7
6000.0,359.246906337,0.0026631926141452125,6000.0,78.7,57.221848009471444,-94.52054794520538,35.68193256165075,6000.0,2.8726456E7
7000.0,420.113766408,0.0031157814673302363,7000.0,79.75714285714287,58.351948082484896,-89.18558077436583,37.82360684510752,7000.0,2.8742552E7
8000.0,482.086889299,0.0035767394460589582,8000.0,81.7625,60.657889609921234,-92.22661396574426,37.622915775972665,8000.0,2.8751488E7
9000.0,535.955858978,0.003977655731415969,9000.0,83.51111111111112,62.36986456137762,-93.98692810457521,36.87792428753723,9000.0,2.8768512E7
9324.0,550.121878251,0.004083103082604601,9324.0,83.71943371943372,62.37858017085761,-94.11764705882348,36.40552995391705,9324.0,2.8773336E7
