learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.136883172,1.7535910728077093E-10,10000.0,77.0,53.97032743187569,53.10907237512743,53.022875816993476,10000.0,4952.0
20000.0,0.285654114,3.6594746958464383E-10,20000.0,75.26,50.50484260299876,50.206299688034626,49.92916413681442,20000.0,4952.0
30000.0,0.419825388,5.378324024627606E-10,30000.0,74.94333333333333,49.870602534150734,49.82980711473001,49.26088423894701,30000.0,4952.0
40000.0,0.565658041,7.246565640365912E-10,40000.0,76.825,53.64349154621307,53.74251497005987,53.309156844968264,40000.0,4952.0
50000.0,0.695097017,8.904790164757935E-10,50000.0,77.91799999999999,55.82844857291699,55.86953915024581,55.433115362880436,50000.0,4952.0
60000.0,0.832397004,1.0663720995932819E-9,60000.0,77.69666666666667,55.388933938701925,55.29796900053447,55.116552071105154,60000.0,4952.0
70000.0,0.958072762,1.2273735463577841E-9,70000.0,77.71285714285713,55.4226855028243,55.331271831873096,55.227435787056955,70000.0,4952.0
80000.0,1.088152268,1.3940165727751123E-9,80000.0,77.63250000000001,55.26231766837266,55.08872323871196,55.0526236467308,80000.0,4952.0
90000.0,1.218693793,1.5612514852380587E-9,90000.0,77.50777777777778,55.013017001198364,54.8056529213458,54.81674925226552,90000.0,4952.0
100000.0,1.365369828,1.749156091635426E-9,100000.0,77.295,54.58842203848899,54.36272637735925,54.455187354569524,100000.0,4952.0
