learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.009989752,3.3233426436581184E-4,1000.0,81.2,35.72166111639166,-193.75000000000014,26.848249027237376,1000.0,2.854096E7
2000.0,92.644026084,6.848166421858559E-4,2000.0,65.0,16.194161366945067,-109.58083832335323,13.366336633663378,2000.0,2.8603712E7
3000.0,140.039948835,0.001036034053403365,3000.0,57.8,20.187548753261417,-175.81699346405227,8.393632416787256,3000.0,2.8644248E7
4000.0,187.576570299,0.0013885024557381191,4000.0,61.3,27.37806916206818,-189.34579439252332,5.436774587660352,4000.0,2.8661192E7
5000.0,235.451255847,0.0017439330697509433,5000.0,65.14,32.83713216480989,-194.9238578680204,5.220228384991842,5000.0,2.8697976E7
6000.0,283.951930346,0.0021042444195262747,6000.0,68.05,35.9991488810479,-191.7808219178081,3.5228988424761085,6000.0,2.8716568E7
7000.0,332.295939348,0.002463593208556402,7000.0,69.01428571428572,35.50877009367136,-189.5861148197597,4.826678367705157,7000.0,2.8732664E7
8000.0,380.303258597,0.002820550706863347,8000.0,72.1375,38.99304030742691,-193.67588932806314,4.702864471996593,8000.0,2.8741632E7
9000.0,428.259896723,0.0031773425734915204,9000.0,74.71111111111111,41.39270771240951,-197.51633986928124,3.190131858783485,9000.0,2.8758656E7
9324.0,443.926431783,0.0032939193421221208,9324.0,75.22522522522522,41.77830372723154,-195.39641943734017,3.2258064516128853,9324.0,2.876348E7
