learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.751561336,1.3252311660846074E-9,10000.0,87.72,72.43923828338828,73.61976369495166,66.06797457861288,10000.0,6816.0
20000.0,2.046282079,3.608217527692517E-9,20000.0,87.935,72.8329993694959,74.05097322292718,66.40211640211639,20000.0,6816.0
30000.0,4.092476197,7.216279953395327E-9,30000.0,81.19666666666666,59.84003676519689,60.33888771707796,50.943560309592115,30000.0,6816.0
40000.0,6.957890333,1.2268876374835769E-8,40000.0,78.865,55.38927527360611,55.98250546704154,46.35786802030456,40000.0,6816.0
50000.0,10.74783422,1.895169987330834E-8,50000.0,79.22,56.7534572805498,57.007489551868254,48.22345143768377,50000.0,6816.0
60000.0,15.142902136,2.670154103775819E-8,60000.0,77.66333333333333,51.62887350283793,52.82314840889889,41.929892976298795,60000.0,6816.0
70000.0,20.209588173,3.56356491715461E-8,70000.0,76.64285714285714,47.544967293345266,49.79580557005559,37.18062012525456,70000.0,6816.0
80000.0,26.017332577,4.587646854338546E-8,80000.0,75.98625,44.734866080988674,47.69812964525877,33.704879563807026,80000.0,6816.0
90000.0,32.753806611,5.7754920656010505E-8,90000.0,73.85666666666667,39.287842739897236,43.515940080660656,29.33385391638637,90000.0,6816.0
100000.0,40.160570317,7.081529727843901E-8,100000.0,72.184,35.564935422451384,40.358927078196366,25.936576403866123,100000.0,6816.0
