learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,11.505912364,1.5216316615119578E-8,10000.0,72.92,30.295411033906955,36.14713510964395,10.063101959481896,10000.0,5112.0
20000.0,22.916742608,3.030688921302557E-8,20000.0,73.11,30.224176435422528,35.96856768662936,9.749958046652129,20000.0,5112.0
30000.0,34.522570365,4.565534174283966E-8,30000.0,73.37666666666667,30.947823528769618,36.43454038997214,10.369206598586032,30000.0,5112.0
40000.0,46.182786507,6.107572171831503E-8,40000.0,73.5125,31.051410736292993,36.572078544061306,10.484961135518782,40000.0,5112.0
50000.0,58.1826599,7.694529095478356E-8,50000.0,73.508,30.95239711675725,36.2652167637011,10.233125508267824,50000.0,5112.0
60000.0,70.534999893,9.328098953520879E-8,60000.0,69.865,31.02199026275116,29.665071770334926,5.2010695747915765,60000.0,5112.0
70000.0,82.407087276,1.089815645775944E-7,70000.0,68.95857142857142,32.60497977716052,29.196128906122716,6.874383919770268,70000.0,5112.0
80000.0,93.997452659,1.2430956845710054E-7,80000.0,69.085,34.68744574101687,30.627471880171658,10.524221265511366,80000.0,5112.0
90000.0,105.531756504,1.3956343218281864E-7,90000.0,69.63777777777777,36.83960850110917,32.520064205457466,14.239086087311293,90000.0,5112.0
100000.0,117.139347441,1.5491421647949142E-7,100000.0,70.158,38.5471371579448,34.15559772296014,17.1929629835174,100000.0,5112.0
