learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.13993097,1.786843945789668E-10,10000.0,88.01,69.32901712366858,71.72836595142655,60.179342411159084,10000.0,4936.0
20000.0,0.238384197,3.0888662682432266E-10,20000.0,88.145,69.46047937438574,71.77044886295987,60.21144487330088,20000.0,5112.0
30000.0,0.310873477,4.0475210891622637E-10,30000.0,88.24,69.66980093434093,71.92200557103062,60.40848389630793,30000.0,5112.0
40000.0,0.419427541,5.483124764408503E-10,40000.0,88.3475,69.8917714799279,72.09650383141762,60.62014193984455,40000.0,5112.0
50000.0,0.52226504,6.843128121975396E-10,50000.0,88.298,69.69396362596066,71.8471827936294,60.34833288153971,50000.0,5112.0
60000.0,0.63719875,8.363101215619181E-10,60000.0,83.12,61.1923814008158,60.6021706150076,46.89875740575683,60000.0,5112.0
70000.0,0.718750331,9.441602978627715E-10,70000.0,80.93142857142858,58.348565725621384,56.50558832154845,42.79346847812113,70000.0,5112.0
80000.0,0.790494016,1.0357731618276901E-9,80000.0,79.51625,56.55735577999145,54.034949931278234,40.714880069462026,80000.0,4936.0
90000.0,0.908946443,1.1924238972096808E-9,90000.0,78.62777777777778,55.53397109981367,52.500308680083954,39.63217525029029,90000.0,5112.0
100000.0,0.980229714,1.2866944588638015E-9,100000.0,77.79599999999999,54.43726616564359,51.0083403203742,38.38725789444475,100000.0,5112.0
