learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,1.502210072,1.999075785891877E-9,10000.0,79.83,53.780989995153995,55.32668881506091,44.29715548191107,10000.0,5144.0
20000.0,2.944569256,3.91850461481346E-9,20000.0,84.615,66.0044070309029,67.21014492753622,59.78829064296916,20000.0,5144.0
30000.0,4.38192899,5.831280393256909E-9,30000.0,87.29,72.23193137673488,73.33193453629877,67.29284611425629,30000.0,5144.0
40000.0,5.814124214,7.737183466557828E-9,40000.0,89.0175,76.18162365908114,76.95656735207722,72.01019432940429,40000.0,5144.0
50000.0,7.250172632,9.648214202738471E-9,50000.0,90.182,78.80571615422079,79.41201140748196,75.11406265842034,50000.0,5144.0
60000.0,8.677071892,1.1547069637634688E-8,60000.0,90.98333333333333,80.58908712019553,81.0839160839161,77.20953745050132,60000.0,5144.0
70000.0,10.088779978,1.3425709319309228E-8,70000.0,91.55,81.88001235378351,82.3179481047471,78.77570059923211,70000.0,5144.0
80000.0,11.522151332,1.5333177535227602E-8,80000.0,91.9875,82.8528895674172,83.21813802492409,79.93049250133066,80000.0,5144.0
90000.0,12.952034399,1.7236003690620674E-8,90000.0,92.3488888888889,83.65595350786683,84.00687476774435,80.88443494434112,90000.0,5144.0
100000.0,14.383108077,1.9140414259315776E-8,100000.0,92.681,84.38896107113253,84.73045147291998,81.74585359770545,100000.0,5144.0
