learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.335432597,3.8320569848020874E-10,10000.0,77.91,55.793486701584136,54.96432212028542,54.88153594771242,10000.0,4416.0
20000.0,0.680018171,7.768679625292619E-10,20000.0,75.965,51.916334622299665,51.62523900573615,51.356000809552725,20000.0,4416.0
30000.0,1.19728868,1.3678093572457633E-9,30000.0,72.70666666666666,45.39925580546013,45.35139825135152,44.73169085386432,30000.0,4416.0
40000.0,1.834331006,2.0955807535847027E-9,40000.0,73.6475,47.28712469642964,47.4001996007984,46.90742419663543,40000.0,4416.0
50000.0,2.817413743,3.218676452289025E-9,50000.0,74.35000000000001,48.690970924393845,48.738958391622376,48.232017437636244,50000.0,4416.0
60000.0,4.159216128,4.751581497192383E-9,60000.0,73.83999999999999,47.67449936895532,47.56814537680384,47.35535804125439,60000.0,4416.0
70000.0,5.688533536,6.498707896868388E-9,70000.0,73.66857142857143,47.33318949287627,47.225562618106856,47.102884201463624,70000.0,4416.0
80000.0,7.572691342,8.651211900810401E-9,80000.0,73.0125,46.021208428469784,45.812313329819546,45.76875737861395,80000.0,4416.0
90000.0,9.660613484,1.1036500838001569E-8,90000.0,72.11999999999999,44.236480922651886,43.97981737402602,43.993571715548406,90000.0,4416.0
100000.0,12.170809658,1.3904205070634682E-8,100000.0,71.624,43.245726287584816,42.96396052340656,43.07951536548182,100000.0,4416.0
