learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.049277491,6.557634040920271E-11,10000.0,80.71000000000001,55.99217322283666,57.27574750830566,46.72742336371169,10000.0,5144.0
20000.0,0.088745812,1.1809906428886785E-10,20000.0,84.685,66.2011689650681,67.35933503836317,59.97124934657606,20000.0,5144.0
30000.0,0.127783915,1.7004927277771962E-10,30000.0,87.17,71.96521361545783,73.08015107007974,66.98404529078744,30000.0,5144.0
40000.0,0.166700426,2.2183767192479636E-10,40000.0,88.7325,75.53954847157048,76.35858161980697,71.28384835935012,40000.0,5144.0
50000.0,0.206928049,2.7537084186035724E-10,50000.0,90.116,78.6700404384267,79.27361181009897,74.94677075940382,50000.0,5144.0
60000.0,0.247494161,3.29354458225684E-10,60000.0,91.04166666666667,80.73500966729759,81.2062937062937,77.35698036902855,60000.0,5144.0
70000.0,0.295702633,3.9350819467463424E-10,70000.0,91.64142857142858,82.10064764442994,82.50926700944638,79.00534644228354,70000.0,5144.0
80000.0,0.349270797,4.6479437597716847E-10,80000.0,92.12875,83.18191701449066,83.5139805215206,80.28429193149442,80000.0,5144.0
90000.0,0.40281543,5.360492432489991E-10,90000.0,92.52,84.04972093816863,84.36454849498328,81.31193959414819,90000.0,5144.0
100000.0,0.461407436,6.140209348416991E-10,100000.0,92.879,84.84010982411169,85.14353667695903,82.23968075819927,100000.0,5144.0
